BGS Database Search Results

yyyy-mm-dd, hh:mm:ss.ss, lat, lon, depth, ML, Nsta, RMS, intensity, locality
2021-12-03, 12:40:17.9, 52.542, -0.621,   7.9,  1.7,  10,  0.2,      , LAXTON,NORTHANTS        
2021-12-03, 13:30:48.9, 57.834, -5.103,   8.3,  1.5,   5,  0.2,      , ULLAPOOL,HIGHLAND       
2021-12-07, 00:02:50.1, 57.269, -5.671,   3.8,  0.7,   5,  0.3,      , LOCH ALSH,HIGHLAND      
2021-12-10, 04:02:49.0, 53.584, -3.269,  11.2,  0.9,  10,  0.2,      , IRISH SEA               
2021-12-10, 06:10:42.0, 55.759, -6.022,  12.2,  1.0,   7,  0.2,      , ISLAY,ARGYLL & BUTE     
2021-12-11, 17:32:57.8, 57.846, -5.109,   6.1,  2.5,   9,  0.3, 3    , ULLAPOOL,HIGHLAND       
2021-12-11, 17:37:52.9, 57.848, -5.114,   7.3,  2.5,  10,  0.4, 3    , ULLAPOOL,HIGHLAND       
2021-12-14, 18:28:25.9, 57.092, -5.751,   8.0,  1.7,   5,  0.3,      , LOCH HOURN,HIGHLAND     
2021-12-15, 08:21:19.0, 56.260, -5.370,   4.2,  0.4,   3,  0.2,      , DALAVICH,ARGYLL & BUTE  
2021-12-15, 16:33:44.3, 57.040, -5.791,   7.8,  1.0,   4,  0.1,      , LOCH NEVIS,HIGHLAND     
2021-12-16, 01:20:54.4, 55.110, -0.285,  24.3,  1.4,  12,  0.4,      , CENTRAL NORTH SEA       
2021-12-16, 14:14:19.2, 56.549, -5.841,   8.5,  0.8,   4,  0.4,      , LOCHALINE,HIGHLAND      
2021-12-17, 20:04:25.4, 54.221, -2.690,   7.7,  0.1,   6,  0.2,      , LUPTON,CUMBRIA          
2021-12-19, 16:53:21.1, 57.608, -4.830,   6.6,  0.8,   7,  0.6,      , GRUDIE,HIGHLAND         
2021-12-19, 20:25:45.4, 54.684, -7.689,  12.1,  0.6,   4,  0.2,      , KILLETER,COUNTY TYRONE  
2021-12-21, 00:01:20.0, 56.642, -6.131,   7.5,  2.1,  15,  0.4, 3    , MULL,ARGYLL & BUTE      
2021-12-21, 06:13:38.5, 54.689, -7.670,  11.2,  0.3,   3,  0.4,      , KILLETER,COUNTY TYRONE  
2021-12-22, 06:50:09.8, 51.470, -3.449,   9.5,  1.2,   6,  0.3,      , COWBRIDGE,GLAMORGAN     
2021-12-25, 02:07:54.6, 54.291,  0.453,  18.8,  2.2,  10,  0.5,      , SOUTHERN NORTH SEA      
2021-12-27, 01:20:07.3, 51.458, -0.957,   9.4,  1.1,  11,  0.3,      , READING,BERKSHIRE       
2021-12-27, 02:15:09.4, 51.435, -1.035,   5.9,  1.8,  14,  0.3,      , READING,BERKSHIRE       
2022-01-01, 05:05:43.6, 53.968, -3.317,   2.7,  1.6,  12,  0.3,      , IRISH SEA               
2022-01-03, 22:57:19.5, 53.325, -0.036,  18.7,  1.1,   8,  0.2,      , LOUTH,LINCOLNSHIRE      
2022-01-04, 08:04:22.4, 57.003,  1.848,  14.4,  2.4,  13,  0.4,      , CENTRAL NORTH SEA       
2022-01-06, 05:28:10.7, 51.917, -2.528,   8.8,  1.0,   8,  0.2,      , ROSS-ON-WYE,HEREF       
2022-01-07, 07:45:20.8, 56.933, -4.739,   8.6,  0.8,   5,  0.4,      , ROYBRIDGE,HIGHLAND      
2022-01-09, 18:34:09.2, 54.285, -0.133,  13.5,  2.2,  12,  0.4,      , SOUTHERN NORTH SEA      
2022-01-09, 22:14:10.1, 56.780, -5.680,   7.7,  0.5,   4,  0.2,      , LOCH SHIEL,HIGHLAND     
2022-01-17, 04:55:54.2, 53.603, -2.984,   7.7,  1.1,   9,  0.3,      , SOUTHPORT,MERSEYSIDE    
2022-01-18, 22:05:02.8, 52.242,  1.673,  16.6,  1.0,   4,  0.2,      , SOUTHERN NORTH SEA      
2022-01-19, 20:32:18.2, 55.792, -5.741,  14.4,  1.1,   8,  0.1,      , SOUND OF JURA           
2022-01-21, 23:45:47.1, 51.722, -3.313,  15.1,  1.0,   8,  0.1,      , MERTHYR,MERTHYR TYDFIL  
2022-01-22, 00:22:00.6, 53.840, -0.449,   9.2,  1.6,  12,  0.3,      , BEVERLEY,E YORKSHIRE    
2022-01-23, 20:21:20.3, 50.374, -4.742,   3.8,  1.1,  11,  0.0,      , EDEN PROJECT,CORNWALL   
2022-01-24, 02:48:41.7, 55.065, -6.014,   1.0,  0.4,   5,  0.4,      , NORTH CHANNEL           
2022-01-26, 21:17:30.6, 53.365, -4.319,   6.5,  0.8,   5,  0.3,      , DULAS,ANGLESEY          
2022-01-31, 14:37:18.8, 56.982,  1.837,  15.2,  3.6,  33,  0.4,      , CENTRAL NORTH SEA       
2022-02-01, 00:10:20.7, 52.341, -4.015,   7.8,  0.6,   5,  0.3,      , LLANILAR,CEREDIGION     
2022-02-01, 12:55:43.1, 50.175, -5.242,   5.3,  0.4,   5,  0.0,      , CARNMENELLIS,CORNWALL   
2022-02-01, 16:38:04.2, 50.174, -5.244,   5.3,  0.3,   5,  0.0,      , CARNMENELLIS,CORNWALL   
2022-02-01, 19:23:14.8, 56.176, -4.794,  11.4,  1.8,   9,  0.3,      , ARDGARTAN,ARGYLL/BUTE   
2022-02-01, 19:49:56.7, 50.174, -5.246,   5.1,  0.0,   5,  0.0,      , CARNMENELLIS,CORNWALL   
2022-02-02, 14:01:38.7, 55.861, -5.424,   7.2,  1.5,   7,  0.2, 2    , TARBERT,ARGYLL & BUTE   
2022-02-02, 18:25:24.9, 52.751, -2.314,   7.7,  1.1,   9,  0.3,      , OUTWOODS,STAFFORDSHIRE  
2022-02-03, 06:44:35.9, 54.638, -3.666,   6.9,  0.3,   7,  0.4,      , IRISH SEA               
2022-02-04, 01:28:35.1, 54.646, -3.687,   8.1,  0.6,   6,  0.2,      , IRISH SEA               
